ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spend,Customer_Tenure_Days,Total_Children,Total_Purchases,Spend_Per_Purchase,Campaigns_Accepted,Is_Parent,Family_Size,Income_Per_Member,Cluster,Cluster_Name,Education_Enc,Marital_Status_Enc,Engagement_Score,Engagement_Tier
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,1617,663,0,25,62.19230769230769,0,0,1,58138.0,1,🌟 High-Value Loyalists,2,2,0.4360109735769251,🌤 Warm Lead
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,27,113,2,6,3.857142857142857,0,1,3,15448.0,0,💤 Low Engagers,2,2,0.029663390812213412,❄️ Cold Lead
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,776,312,0,21,35.27272727272727,0,0,2,35806.5,1,🌟 High-Value Loyalists,2,3,0.028161688813614548,❄️ Cold Lead
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,53,139,1,8,5.888888888888889,0,1,3,8882.0,0,💤 Low Engagers,2,3,0.03576904971868165,❄️ Cold Lead
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,422,161,1,19,21.1,0,1,3,19431.0,2,👨‍👩‍👧 Active Parent Shoppers,4,1,0.02940651929842648,❄️ Cold Lead
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,716,293,1,22,31.130434782608695,0,1,3,20837.666666666668,2,👨‍👩‍👧 Active Parent Shoppers,3,3,0.06217997685559145,❄️ Cold Lead
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,590,593,1,21,26.818181818181817,0,1,2,27817.5,2,👨‍👩‍👧 Active Parent Shoppers,2,0,0.17510940161033503,❄️ Cold Lead
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,169,417,1,10,15.363636363636363,0,1,3,11151.333333333334,0,💤 Low Engagers,4,1,0.10787599066410683,❄️ Cold Lead
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,46,388,1,6,6.571428571428571,0,1,3,10117.0,0,💤 Low Engagers,4,3,0.1343539496108887,❄️ Cold Lead
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,49,108,2,2,16.333333333333332,1,1,4,1412.0,0,💤 Low Engagers,4,3,0.057681348196419895,❄️ Cold Lead
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,19,226,1,4,3.8,0,1,3,17127.166666666668,0,💤 Low Engagers,2,1,0.12620963708287275,❄️ Cold Lead
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,61,593,0,6,8.714285714285714,0,0,2,3750.0,0,💤 Low Engagers,0,1,0.1691208130051616,❄️ Cold Lead
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1102,226,0,16,64.82352941176471,0,0,1,63033.0,1,🌟 High-Value Loyalists,2,0,0.02060841182832367,❄️ Cold Lead
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,310,226,2,15,19.375,0,1,3,19784.666666666668,2,👨‍👩‍👧 Active Parent Shoppers,3,0,0.025121982876682648,❄️ Cold Lead
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,46,627,0,5,7.666666666666667,0,0,2,8661.5,0,💤 Low Engagers,2,1,0.09073747741273575,❄️ Cold Lead
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,1315,582,0,26,48.7037037037037,2,0,1,82800.0,3,🏆 Champions,4,2,0.9509694911038534,🔥 Hot Lead
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,96,552,2,9,9.6,0,1,4,10462.5,0,💤 Low Engagers,2,1,0.15745957082032833,❄️ Cold Lead
